"months" "member_months_Health Plan" "med_gross_Health Plan" "med_gross_mh_Health Plan" "med_gross_nonmh_Health Plan" "member_months_Spring" "med_gross_Spring" "med_gross_mh_Spring" "med_gross_nonmh_Spring"
-11 218 402497.63 3326.38 399171.25 84 66074.29 11252.09 54822.2
-10 219 327736.36 7973.2 319763.16 85 64135.87 2514.75 61621.12
-9 218 328659.15 18421.18 310237.97 85 95292.04 2735.28 92556.76
-8 218 291938 4813.46 287124.54 85 194878.58 4702.78 195981.44
-7 221 339647.21 9209.48 330437.73 86 80143.76 1926.22 78217.54
-6 225 259951.8 16321.76 243630.04 85 120522.39 733.09 119789.3
-5 226 215890.12 2890.76 212999.36 86 92542.75 605.37 91937.38
-4 227 397973.53 513.13 397460.4 87 127300.89 614.54 126686.35
-3 227 623898.56 3038.72 620859.84 87 337475.3 14810.36 322664.94
-2 228 431360.26 909.43 430450.83 87 173581.29 3683.54 169897.75
-1 228 398795.77 832.35 397963.42 87 169522.05 6610.03 162912.02
0 227 370180.38 283.43 369896.95 87 183511.45 1097.42 182414.03
1 228 772967.43 174205.26 613770.84 87 284907.24 6946.09 292551.88
2 225 631025.61 19177.99 638783.48 85 132034.83 8404.27 123630.56
3 212 704522.15 9361.95 698251.31 76 112869.33 1263.35 111605.98
4 194 407266.74 19905.24 387361.5 71 191249.3 830.6 190418.7
5 169 516045.7 19503.03 496542.67 65 83623.87 361 83262.87
6 156 285034.63 9927.15 275107.48 53 81533.39 772.28 80761.11
7 136 351940.86 6940.12 345000.74 43 19881.74 3272.94 16608.8
8 119 350312.74 48468.09 301844.65 36 18782.4 558.42 18223.98
9 93 177813.94 4157.54 173656.4 30 55810.08 0 55810.08
10 77 211087.5 4565.56 206521.94 24 25881.12 634.28 25246.84
11 56 58691.11 3876.68 54814.43 15 34691.78 590.49 34101.29
12 40 105473.27 6667.13 98806.14 10 5819.43 0 5819.43
