"months" "member_months_Health Plan" "med_gross_Health Plan" "med_gross_mh_Health Plan" "med_gross_nonmh_Health Plan" "member_months_Spring" "med_gross_Spring" "med_gross_mh_Spring" "med_gross_nonmh_Spring"
-11 411 530269.12 17172.57 513096.55 196 91838.05 7854.96 83983.09
-10 410 410891.1 11874.45 399016.65 195 179975.75 7366.43 172609.32
-9 410 569724.86 6324.82 565509.54 199 165177.29 18325.21 146852.08
-8 418 399702.46 51474.49 348227.97 203 112477.11 3610.79 108866.32
-7 420 487336.73 6233.07 481103.66 209 158143.01 1488 156655.01
-6 427 364332.49 8244.52 356087.97 214 239566.67 2173.96 237392.71
-5 435 285779.12 7796.62 277982.5 214 252177.33 3027.69 249149.64
-4 435 373937.6 17844.12 356093.48 215 193695.39 2063.01 191632.38
-3 435 514146.25 2434.27 511756.98 216 259774.84 853.09 258921.75
-2 434 401816.63 1721.98 400094.65 216 177032.35 11147.95 165884.4
-1 433 459922.09 1226.84 458695.25 216 285061.99 1818.89 283243.1
0 434 398104.75 476.02 397628.73 216 151726.03 2534.31 149191.72
1 437 1201917.64 219961.04 1028227.98 217 233801.07 9546.13 224254.94
2 426 753015.84 45331.47 747895.3 211 224469.42 6459.32 218010.1
3 397 694693.46 16481.56 678211.9 194 204965.92 5148.84 199817.08
4 367 516628.45 14824.87 501803.58 176 124506.18 3007.98 121498.2
5 324 404114.19 29825.67 374288.52 153 154981.79 2456.98 152524.81
6 280 408635.76 73451.85 335183.91 131 150142.45 857.42 149285.03
7 236 237825.6 14773.63 223051.97 110 115651.49 1561.65 114089.84
8 201 198789.09 12699.39 186089.7 82 56282.25 1356.9 54925.35
9 160 272091.83 12399.41 259692.42 65 49763.52 959.55 48803.97
10 140 114747.8 10041.46 104706.34 56 46098.45 366.42 45732.03
11 102 166750.22 9144.4 157605.82 46 28432.05 757.21 27674.84
12 74 67538.88 4073.3 63465.58 40 24665.78 298.88 24366.9
