months,member_months_Health Plan,med_gross_Health Plan,med_gross_mh_Health Plan,med_gross_nonmh_Health Plan,member_months_Spring,med_gross_Spring,med_gross_mh_Spring,med_gross_nonmh_Spring
-11,1483,1106972.57,138685.09,968287.48,564,519325.7,57123.24,462202.46
-10,1491,1207930.65,44736.71,1163193.94,568,407188.9,30667.26,376521.64
-9,1504,1046914.97,72598.59,976425.88,576,434131.55,19739.9,414391.65
-8,1520,970942.97,112092.14,858271.49,584,526607.81,14011.01,512596.8
-7,1537,1267768.22,52962.97,1214805.25,598,446244.07,12066.16,434177.91
-6,1564,981952.21,30360.77,952724.04,605,610286.87,28904.58,581382.29
-5,1584,1149966.13,47233.76,1102732.37,609,771448.22,20233.1,751215.12
-4,1587,1273774.92,4533.06,1269241.86,609,570378.32,12387.99,557990.33
-3,1587,1533924.73,5733.57,1546836.21,611,954548.86,63378.33,891170.53
-2,1587,1076996.69,4863.12,1069885.02,610,590174.78,27800.41,562374.37
-1,1587,1349890.7,4494.25,1345396.45,612,664076.05,14065.01,650011.04
0,1587,1195036.72,2946.51,1192090.21,612,569606.87,30244.87,539362
1,1592,3529254.74,922521.21,2667951.58,613,839669.43,39414.41,814845.75
2,1555,2100047.69,160946.35,1979312.27,602,480106.51,20451.48,459655.03
3,1429,2044909.24,191935.99,1883421.84,553,601135.13,17730.54,583404.59
4,1315,1735579.16,128748.79,1609280.64,505,455190.36,50138.09,405052.27
5,1155,1152037.55,96507.62,1055529.93,443,302804.49,8910.02,293894.47
6,975,1030738.02,103554.29,927183.73,367,273333.88,3725.06,269608.82
7,838,713217.79,53081.61,660136.18,296,220663.41,18667.61,201995.8
8,679,929172.97,135983.59,803703.3,228,148503.96,3117.92,145386.04
9,547,561947.72,25403.47,536544.25,192,197901.62,3240.56,194661.06
10,461,339077.5,29389.76,309687.74,169,89909.78,6385.11,83524.67
11,359,411052.66,14173.73,396878.93,135,76974.87,3770.33,73204.54
12,259,163953.02,20655.59,143297.43,106,145765.61,1006.58,144759.03
