"months" "member_months_Health Plan" "med_gross_Health Plan" "med_gross_mh_Health Plan" "med_gross_nonmh_Health Plan" "member_months_Spring" "med_gross_Spring" "med_gross_mh_Spring" "med_gross_nonmh_Spring"
-11 6338 2873212 344273.26 2528938.74 3135 1345317.54 117223.15 1228094.39
-10 6425 2841668.38 200890.52 2640742.83 3203 1352189.52 166755.27 1191502.54
-9 6512 2811468.08000001 234367.09 2579210.49000001 3270 1373014.17 74269.1199999999 1298076.16
-8 6627 2859151.54 278561.34 2583786.15 3349 1655357.9 53351.63 1607811.91
-7 6746 3172910.6 160225.89 3012684.71 3439 1356877.9 59400.22 1297477.68
-6 6885 2738199.32000001 135911.99 2603419.93 3528 1675753.27 90150.91 1585361.56
-5 7038 2739704.4 106539.95 2633164.45 3620 1648272.94 79511.24 1568761.7
-4 7036 3223024.61 76988.5500000001 3146033.6 3624 1736765.39 43350.43 1693324.96
-3 7034 3370894.44999999 24393.15 3365146.34999999 3628 2310410.71 141476.76 2168933.95
-2 7040 3132674.28 37609 3092816.73 3628 1760789.34 63618.34 1697171
-1 7054 3355038.16999999 24297.43 3330740.73999999 3628 1771889.82 110331 1661558.82
0 7061 3417288.72000001 23760.06 3393403.66000001 3635 1600178.87 117748.63 1482430.24
1 7076 9838226.11000003 3859215.37000001 6057663.70999999 3640 1878799.55 152714.44 1740675.84
2 6898 5296410.59 929942.529999997 4406594.53000001 3547 1501802.91 106300.47 1395502.44
3 6257 4792856.08000001 756842.759999998 4066575.91 3195 1688996.62 62528.46 1626468.16
4 5641 3832797.95 533120.529999999 3302127.69 2892 1495171.25 89200.32 1405970.93
5 4932 2980977.22 425899.899999999 2555077.32 2485 993799.889999999 55255.22 938544.67
6 4125 2492314.58 417351.93 2074962.65 2054 896479.25 27893.4 868585.85
7 3475 2161556.33 373994.24 1787562.09 1697 733632.44 45856.52 687788.11
8 2811 1973950.51 315617.14 1668847.29 1335 536315.57 26693.34 509622.23
9 2309 1437008.24 140467.21 1296541.03 1084 506395.61 10907.53 495488.08
10 1893 1159767.24 141025.91 1018741.33 890 374214.71 21020.03 353194.68
11 1428 888869.4 114621.75 774247.65 671 312399.6 12409.43 299990.17
12 987 597764.14 131615.74 466148.399999999 444 281077.67 7856.9 273220.77
