months,member_months_Health Plan,med_gross_Health Plan,med_gross_mh_Health Plan,med_gross_nonmh_Health Plan,member_months_Spring,med_gross_Spring,med_gross_mh_Spring,med_gross_nonmh_Spring
-11,332,360523.52,9945.6,350577.92,194,156657.63,4999.89,151657.74
-10,337,337965.96,15668.71,322297.25,199,228319.95,36421.37,191898.58
-9,342,284360.42,17247.9,267112.52,200,237522.53,3908.72,233613.81
-8,349,254172.04,25794.32,228377.72,203,275939,2244.5,273694.5
-7,352,341473.19,5659.22,335813.97,203,250795.46,14001.04,236794.42
-6,359,408256.41,3190.72,407604.56,207,192065.2,5749.6,186315.6
-5,365,253223.55,5143.18,248080.37,211,171760.33,1311.3,170449.03
-4,365,409018.23,638.74,408379.49,211,232290.94,2145.91,230145.03
-3,365,526490.28,1094.15,525396.13,211,314399.74,1409.45,312990.29
-2,366,356129.8,345.68,355784.12,211,218060.24,1214.33,216845.91
-1,367,395393.45,604.49,394788.96,211,310098.26,2144.83,307953.43
0,367,451928.36,3463.2,448465.16,211,246338.98,29180.32,217158.66
1,367,598382.7,186804.39,410798.07,211,103554.63,17479.15,86075.48
2,360,400052.5,68330.27,331722.23,205,166799.77,3451.02,163348.75
3,330,503355.29,29391.23,473964.06,188,198819.85,5837.5,192982.35
4,299,234599.31,33595.94,201003.37,172,184394.37,2006.74,182387.63
5,262,206780.77,24968.44,181812.33,149,99365.32,2306.28,97059.04
6,232,285142.79,10710.62,274432.17,126,85069.26,2500.63,82568.63
7,204,205932.22,10887.62,195044.6,107,45383.19,10949.39,34433.8
8,173,319887.92,7673.09,322728.75,92,154294.77,11435.31,142859.46
9,146,156164.15,13164.57,142999.58,70,59031.82,413.87,58617.95
10,114,163450.11,4571.98,158878.13,62,51657.7,496.14,51161.56
11,93,86594.21,4713.17,81881.04,43,53785.69,4538.64,49247.05
12,74,48584.61,3242.93,45341.68,27,32382.59,70.16,32312.43
