"months" "member_months_Health Plan" "med_gross_Health Plan" "med_net_Health Plan" "pmpm_gross_Health Plan" "pmpm_net_Health Plan" "member_months_Spring" "med_gross_Spring" "med_net_Spring" "pmpm_gross_Spring" "pmpm_net_Spring"
-11 6339 2873212 2873212 453.259504653732 453.259504653732 3135 1345317.54 1345317.54 429.128401913876 429.128401913876
-10 6426 2841668.38 2841668.38 442.214189231249 442.214189231249 3203 1352189.52 1352189.52 422.163446768655 422.163446768655
-9 6513 2811468.08000001 2811468.08000001 431.670210348535 431.670210348535 3270 1373014.17 1373014.17 419.882009174312 419.882009174312
-8 6628 2859151.54 2859151.54 431.374704284853 431.374704284853 3349 1655357.9 1655357.9 494.284234099731 494.284234099731
-7 6746 3172910.6 3172910.6 470.339549362585 470.339549362585 3439 1356877.9 1356877.9 394.555946496075 394.555946496075
-6 6885 2738199.32000001 2738199.32000001 397.705057371097 397.705057371097 3528 1675753.27 1675753.27 474.986754535147 474.986754535147
-5 7038 2739704.4 2739704.4 389.273145780051 389.273145780051 3620 1648272.94 1648272.94 455.324016574585 455.324016574585
-4 7036 3223024.61 3223024.61 458.076266344515 458.076266344515 3624 1736765.39 1736765.39 479.239897902871 479.239897902871
-3 7034 3370894.44999999 3370894.44999999 479.228667898776 479.228667898776 3628 2310410.71 2310410.71 636.827648842336 636.827648842336
-2 7040 3132674.28 3132674.28 444.982142045455 444.982142045455 3628 1760789.34 1760789.34 485.333335170893 485.333335170893
-1 7054 3355038.16999999 3355038.16999999 475.622082506378 475.622082506378 3628 1771889.82 1771889.82 488.393004410144 488.393004410144
0 7061 3417288.72000001 3417288.72000001 483.966678940661 483.966678940661 3635 1600178.87 1600178.87 440.2142696011 440.2142696011
1 7076 9838226.11000003 9838226.11000003 1390.36547625778 1390.36547625778 3640 1878799.55 3074539.55 516.153722527473 844.653722527472
2 6898 5296410.59 5296410.59 767.818293708322 767.818293708322 3547 1501802.91 2264642.91 423.400876797294 638.467129968989
3 6257 4792856.08000001 4792856.08000001 765.999053859679 765.999053859679 3195 1688996.62 2051696.62 528.637439749608 642.158566510172
4 5641 3832797.95 3832797.95 679.453634107427 679.453634107427 2892 1495171.25 1713181.25 517.00250691563 592.386324343015
5 4932 2980977.22 2980977.22 604.415494728305 604.415494728305 2485 993799.889999999 1128934.89 399.919472837022 454.299754527163
6 4125 2492314.58 2492314.58 604.197473939394 604.197473939394 2054 896479.25 998659.25 436.455331061344 486.202166504382
7 3475 2161556.33 2161556.33 622.030598561151 622.030598561151 1697 733632.44 812802.439999999 432.311396582204 478.964313494401
8 2811 1973950.51 1973950.51 702.22358946994 702.22358946994 1335 536315.57 589160.57 401.734509363296 441.318779026217
9 2309 1437008.24 1437008.24 622.350905153746 622.350905153746 1084 506395.61 547150.61 467.154621771217 504.751485239852
10 1893 1159767.24 1159767.24 612.660982567353 612.660982567353 890 374214.71 401514.71 420.465966292135 451.140123595506
11 1428 888869.4 888869.4 622.45756302521 622.45756302521 671 312399.6 328389.6 465.573174366617 489.403278688524
12 987 597764.14 597764.14 605.637426545086 605.637426545086 444 281077.67 284587.67 633.057815315315 640.96322072072
